product_url,img_url,name,sku,normal_price,discount_price,stock,description
https://www.jashanmal.com/collections/dining/products/viadava-desert-bowl-eclipse-gold-679,"//www.jashanmal.com/cdn/shop/products/679-1.jpg?v=1686905482&width=400 400w, //www.jashanmal.com/cdn/shop/products/679-1.jpg?v=1686905482&width=500 500w, //www.jashanmal.com/cdn/shop/products/679-1.jpg?v=1686905482&width=600 600w, //www.jashanmal.com/cdn/shop/products/679-1.jpg?v=1686905482&width=700 700w, //www.jashanmal.com/cdn/shop/products/679-1.jpg?v=1686905482&width=800 800w",Vaidava Desert Bowl Eclipse Gold,ECOM-679,AED 115,AED 115,Only 3 units left,"Adding a touch of elegance to your table. This bowl is perfect for serving individual portions of your favorite desserts, such as ice cream, pudding, or fruit salads. designed by laima grigone. the dark colors of this collection, Delicately decorated with a gold rim, bring elegance to the otherwise mundane. Handmade using traditional methods and materials, crafted from pure latvian clay. each piece is glazed and tempered at 1000°c. dishwasher, microwave, and oven safe. 12 cm × 6 cm · 250 ml."
https://www.jashanmal.com/collections/dining/products/viadava-small-dinner-plate-eclipse-black-641,"//www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=400 400w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=500 500w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=600 600w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=700 700w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=800 800w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=900 900w, //www.jashanmal.com/cdn/shop/products/641-1.jpg?v=1686905486&width=1000 1000w",Vaidava Small Dinner Plate Eclipse  Black,ECOM-641,AED 139,AED 139,Only 3 units left,"Small dinner plate eclipse  black. Add a sense of sophistication and refinement to any meal, be it a simple weeknight dinner or an elaborate feast. a touch of the extraordinary in the everyday. Designed by laima grigone. Handmade using traditional methods and materials, crafted from pure latvian clay. Each piece is glazed and tempered at 1000°c. dishwasher, microwave, and oven safe. 20.5 cm × 2 cm ."
https://www.jashanmal.com/collections/dining/products/viadava-desert-plate-2-pcs-set-eclipse-black-668,"//www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=400 400w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=500 500w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=600 600w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=700 700w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=800 800w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=900 900w, //www.jashanmal.com/cdn/shop/products/668-1.jpg?v=1686905487&width=1000 1000w",Vaidava Desert Plate (2 Pcs. Set) Eclipse  Black,ECOM-668,AED 219,AED 219,Only 3 units left,"Desert plate (2 pcs. set) eclipse  black. make each dessert an unforgettable experience that lingers long after the last crumb is savored. Designed by laima grigone.  Handmade using traditional methods and materials, crafted from pure latvian clay. each piece is glazed and tempered at 1000°c. dishwasher, microwave, and oven safe. 16 cm × 2.2 cm ."
https://www.jashanmal.com/collections/dining/products/combi-oriane-plat-line-6pc-set-sml-goblet-56-190ml-ps-56,"//www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=400 400w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=500 500w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=600 600w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=700 700w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=800 800w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=900 900w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/833047-1.jpg?v=1681802655&width=1200 1200w",Combi Oriane Plat Line 6Pc Set Sml Goblet 56 190Ml-PS-56,833047,,AED 265,Only 1 unit left,"Eligible to pour your favorite wine and set the mood right for the rest of the evening with this six-piece goblet set. All your celebrations are incomplete without this elegant and finely textured stem glass, a must-have dining room decor."
https://www.jashanmal.com/collections/dining/products/viadava-dinner-plate-eclipse-black-642,"//www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=400 400w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=500 500w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=600 600w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=700 700w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=800 800w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=900 900w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/642-1.jpg?v=1686905485&width=1200 1200w",Vaidava Dinner Plate Eclipse  Black,ECOM-642,AED 235,AED 235,Only 3 units left,"Dinner plate eclipse  Black. this dinner plate is a blank slate waiting to be filled with culinary creations, adding a touch of drama and refinement to any dining experience. designed by laima grigone. Handmade using traditional methods and materials, crafted from pure latvian clay. Each piece is glazed and tempered at 1000°c. dishwasher, microwave, and oven safe. 29 cm × 2.5 cm."
https://www.jashanmal.com/collections/dining/products/lunares-manzanita-pedestal-platter-110015,"//www.jashanmal.com/cdn/shop/products/834661-1.jpg?v=1657780678&width=400 400w, //www.jashanmal.com/cdn/shop/products/834661-1.jpg?v=1657780678&width=500 500w, //www.jashanmal.com/cdn/shop/products/834661-1.jpg?v=1657780678&width=600 600w, //www.jashanmal.com/cdn/shop/products/834661-1.jpg?v=1657780678&width=700 700w, //www.jashanmal.com/cdn/shop/products/834661-1.jpg?v=1657780678&width=800 800w",Lunares Manzanita Pedestal Platter,834661,,"AED 1,005",Only 1 unit left,"•  Given its handmade and hand-finished nature, variations in the piece are to be expected and celebrated.                      "
https://www.jashanmal.com/collections/dining/products/kitchenaid-coreline-ice-cream-scoop-almond-cream-kag117ohace,"//www.jashanmal.com/cdn/shop/products/837170-1_eab0fd45-715e-40d4-b578-b2d4cfec8e60.jpg?v=1672728382&width=400 400w, //www.jashanmal.com/cdn/shop/products/837170-1_eab0fd45-715e-40d4-b578-b2d4cfec8e60.jpg?v=1672728382&width=500 500w",Kitchenaid Coreline Ice Cream Scoop  Almond Cream,837170,AED 75,AED 75,Only 2 units left,"This KitchenAid ice cream scoop is the perfect tool for serving all frozen desserts. The specially shaped cast zinc head makes scooping hard ice cream quick and easy, and it features an ergonomic handle for added comfort. The glossy handle features a debossed logo, as well as a chrome-plated bolster. It's dishwasher safe for easy cleanups."
https://www.jashanmal.com/collections/dining/products/dankotuwa-dene-lid-jar-small-dene-ja-001,"//www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=400 400w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=500 500w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=600 600w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=700 700w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=800 800w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=900 900w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/834473_1.jpg?v=1642146600&width=1200 1200w",Dankotuwa Dene Lid Jar Small - Dene-Ja 001,834473,,AED 136,Only 2 units left,• Made of whitest and strongest porcelain in the world
https://www.jashanmal.com/collections/dining/products/combi-oriane-gold-line-6pc-set-sml-goblet-56-190ml-zs-56,"//www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=400 400w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=500 500w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=600 600w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=700 700w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=800 800w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=900 900w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/833039-1.jpg?v=1681802720&width=1200 1200w",Combi Oriane Gold Line 6Pc Set Sml Goblet 56 190Ml-ZS-56,833039,,AED 265,Only 1 unit left,"Eligible to pour your favorite wine and set the mood right for the rest of the evening with this six-piece goblet set. All your celebrations are incomplete without this elegant and finely textured stem glass, a must-have dining room decor."
https://www.jashanmal.com/collections/dining/products/combi-estella-gold-deco-6pc-set-sml-goblet-56-190ml-g994z-56,"//www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=400 400w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=500 500w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=600 600w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=700 700w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=800 800w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=900 900w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/833023-1.jpg?v=1681802753&width=1200 1200w",Combi Estella Gold Deco 6Pc Set Sml Goblet 56 190Ml-G994Z-56,833023,,AED 275,Only 1 unit left,"Eligible to pour your favorite wine and set the mood right for the rest of the evening with this six-piece goblet set. All your celebrations are incomplete without this elegant and finely textured stem glass, a must-have dining room décor."
https://www.jashanmal.com/collections/dining/products/kaymet-s18-tray-diamond-black-silver-s18-diamond-black,"//www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100596.jpg?v=1680773243&width=1200 1200w",Kaymet S18 Tray Diamond Black/Silver S18 Diamond Black,851100596,AED 675,AED 675,Only 2 units left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/kaymet-s20-tray-diamond-royal-blue-gold-s20-diamond-royal-blue,"//www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100595.jpg?v=1680773247&width=1200 1200w",Kaymet S20 Tray Diamond Royal Blue/Gold S20 Diamond  Royal Blue,851100595,AED 745,AED 745,Only 1 unit left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/kaymet-s20-tray-diamond-black-silver-s20-diamond-black,"//www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100597.jpg?v=1680773235&width=1200 1200w",Kaymet S20 Tray Diamond Black/Silver S20 Diamond Black,851100597,AED 745,AED 745,Only 1 unit left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/combi-estella-gold-deco-6pc-set-shrt-tumbler-300ml-g994z-27-1,"//www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=400 400w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=500 500w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=600 600w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=700 700w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=800 800w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=900 900w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/833026-1.jpg?v=1681802406&width=1200 1200w",Combi Estella Gold Deco 6Pc Set Shrt Tumbler 300Ml-G994Z-27-1,833026,,AED 275,Only 1 unit left,"Combi was established in 1983 in Poland. Since then, they have been building our magical world of glass creating products from simple ornamental forms to impressive designs based on a long cultural tradition. They specialize in decorating domestic as well as hollow glassware, in a variety of techniques. They have perfected contemporary techniques of glass ornamenting, along with our wide range of glass products, we are able to fulfill all, even the most sophisticated of tastes."
https://www.jashanmal.com/collections/dining/products/kaymet-s18-tray-diamond-royal-blue-gold-s18-diamond-royal-blue,"//www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100594.jpg?v=1680773254&width=1200 1200w",Kaymet S18 Tray Diamond Royal Blue/Gold S18 Diamond  Royal Blue,851100594,AED 675,AED 675,Only 1 unit left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/kaymet-s20-tray-white-marble-silver-s20-white,"//www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100591.jpg?v=1680773278&width=1200 1200w",Kaymet S20 Tray White Marble/Silver S20 White,851100591,AED 745,AED 745,Only 1 unit left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/ozlem-tuna-mosaic-etagere-tier-of-3-multi-teas002,"//www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=400 400w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=500 500w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=600 600w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=700 700w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=800 800w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=900 900w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/837365-1.jpg?v=1680773364&width=1200 1200w",Ozlem Tuna Mosaic Etagere Tier Of 3 Multi TEAS002,837365,,AED 450,Only 1 unit left,"The exquisite ornamental design with a white and gold finish adds a sophisticated aura to your dinner table. It features three tiers, which extend ample space to serve your delicious cupcakes and desserts."
https://www.jashanmal.com/collections/dining/products/kaymet-s18-tray-white-marble-silver-s18-white,"//www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=400 400w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=500 500w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=600 600w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=700 700w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=800 800w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=900 900w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/851100590.jpg?v=1680773274&width=1200 1200w",Kaymet S18 Tray White Marble/Silver S18 White,851100590,AED 675,AED 675,Only 1 unit left,"Whatever you're serving, whether it's fashionable drinks or decadent breakfasts in bed, serve it in elegance with this Ribbed Metal Tray from Royal Warrant holders Kaymet. Choose from a selection of center colors and frame finishes and find the perfect one for every setting. This timeless design has been in continuous production since the 1950s and is currently manufactured in their London factory. Hand finished and assembled with ribbed extruded edge & handle section Design has been continuously produced since 1950 Golden color finished frame."
https://www.jashanmal.com/collections/dining/products/ozlem-tuna-mosaic-etagere-tier-of-2-gold-teas001,"//www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=400 400w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=500 500w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=600 600w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=700 700w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=800 800w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=900 900w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=1000 1000w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=1100 1100w, //www.jashanmal.com/cdn/shop/products/837361-1.jpg?v=1680773400&width=1200 1200w",Ozlem Tuna Mosaic Etagere Tier Of 2 Gold TEAS001,837361,,AED 555,Only 1 unit left,"The exquisite ornamental design with a white and gold finish adds a sophisticated aura to your dinner table. It features two tiers, which extend ample space to serve your delicious cupcakes and desserts."
